PROVINCIA,AÑO,ACCIDENTES,VICTIMAS,FALLECIDOS,HERIDOS_GRAVES,HERIDOS_LEVES
A Coruña,2019,1816,2579,44,279,2256
A Coruña,2020,1227,1676,29,200,1447
A Coruña,2021,1458,2014,38,223,1753
A Coruña,2022,1654,2334,55,244,2035
Albacete,2019,702,917,23,108,786
Albacete,2020,557,704,9,52,643
Albacete,2021,732,1002,10,79,913
Albacete,2022,650,849,13,83,753
Alicante,2019,2853,3927,68,340,3519
Alicante,2020,1882,2517,53,266,2198
Alicante,2021,2404,3303,57,318,2928
Alicante,2022,3323,4406,53,348,4005
Almería,2019,1092,1647,31,113,1503
Almería,2020,861,1242,38,92,1112
Almería,2021,696,1082,31,83,968
Almería,2022,1205,1719,32,128,1559
Asturias,2019,1981,2751,27,196,2528
Asturias,2020,1552,2044,14,155,1875
Asturias,2021,1831,2431,26,164,2241
Asturias,2022,1762,2324,26,173,2125
Badajoz,2019,881,1273,29,105,1139
Badajoz,2020,651,899,22,76,801
Badajoz,2021,777,1105,23,95,987
Badajoz,2022,1027,1406,23,113,1270
Baleares,2019,3356,4462,41,295,4126
Baleares,2020,2092,2727,33,201,2493
Baleares,2021,2748,3556,40,282,3234
Baleares,2022,3078,3987,32,328,3627
Barcelona,2019,20591,26740,127,1042,25571
Barcelona,2020,13403,17015,88,696,16231
Barcelona,2021,16683,21225,84,851,20290
Barcelona,2022,17394,22307,123,943,21241
Bizkaia,2019,2024,2709,22,151,2536
Bizkaia,2020,1408,1882,16,130,1736
Bizkaia,2021,1862,2429,16,166,2247
Bizkaia,2022,1883,2456,18,153,2285
Burgos,2019,638,871,13,84,774
Burgos,2020,375,539,18,75,446
Burgos,2021,552,726,15,65,646
Burgos,2022,619,792,30,100,662
Cantabria,2019,920,1350,13,82,1255
Cantabria,2020,830,1112,14,83,1015
Cantabria,2021,974,1318,13,118,1187
Cantabria,2022,1009,1369,18,116,1235
Castellón,2019,878,1188,21,156,1011
Castellón,2020,688,855,12,132,711
Castellón,2021,811,1100,24,151,925
Castellón,2022,990,1327,25,168,1134
Ceuta,2019,309,460,2,18,440
Ceuta,2020,172,248,2,8,238
Ceuta,2021,244,364,0,8,356
Ceuta,2022,257,366,1,10,355
Ciudad Real,2019,463,667,20,37,610
Ciudad Real,2020,351,469,27,45,397
Ciudad Real,2021,385,576,20,62,494
Ciudad Real,2022,414,584,27,50,507
Cuenca,2019,271,394,8,61,325
Cuenca,2020,166,243,18,34,191
Cuenca,2021,286,443,24,58,361
Cuenca,2022,288,459,21,65,373
Cáceres,2019,531,750,16,69,665
Cáceres,2020,378,489,13,73,403
Cáceres,2021,497,670,10,66,594
Cáceres,2022,451,625,12,55,558
Cádiz,2019,2765,3947,36,226,3685
Cádiz,2020,2125,3032,17,208,2807
