ID_ACCIDENTE,AÑO,PROVINCIA,MES,DIA_SEMANA,HORA,ZONA,TIPO_VIA,TIPO_ACCIDENTE,CONDICION_METEO,CONDICION_ILUMINACION,TOTAL_VICTIMAS,FALLECIDOS_24H,HERIDOS_GRAVES,HERIDOS_LEVES
1,2019,Álava,2,Jueves,8,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,2,0,1,1
2,2019,Álava,6,Lunes,10,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,2,0,1,1
3,2019,Álava,7,Viernes,16,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,2,0,1,1
4,2019,Álava,11,Martes,10,Zona interurbana,Vía urbana,Colisión frontolateral,Lluvia,Pleno día,1,0,1,0
5,2019,Álava,2,Viernes,16,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
6,2019,Álava,2,Sábado,8,Zona interurbana,Vía urbana,Caída de motociclista,Buen tiempo,Pleno día,5,0,0,5
7,2019,Álava,3,Sábado,12,Zona interurbana,Vía urbana,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
8,2019,Álava,3,Lunes,12,Zona interurbana,Calle,Objeto desprendido,Buen tiempo,Pleno día,1,0,0,1
9,2019,Álava,7,Sábado,11,Zona interurbana,Otro urbano,Atropello a peatón,Granizo,Pleno día,1,0,0,1
10,2019,Álava,8,Jueves,9,Zona interurbana,Autopista,Caída de motociclista,Buen tiempo,Pleno día,2,0,0,2
11,2019,Álava,9,Domingo,13,Zona interurbana,Vía urbana,Caída de motociclista,Lluvia,Pleno día,1,0,1,0
12,2019,Álava,9,Domingo,11,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,2,0,2,0
13,2019,Álava,10,Martes,12,Zona interurbana,Vía urbana,Choque obstáculo calzada,Buen tiempo,Pleno día,1,0,1,0
14,2019,Álava,12,Lunes,23,Zona interurbana,Autopista,Choque obstáculo calzada,Granizo,Se desconoce,2,0,0,2
15,2019,Álava,12,Miércoles,15,Zona interurbana,Autopista,Choque obstáculo calzada,Buen tiempo,Pleno día,1,0,0,1
16,2019,Álava,12,Domingo,22,Travesía,Otro,Objeto desprendido,Lluvia,Noche sin iluminación,1,0,0,1
17,2019,Álava,4,Lunes,12,Zona interurbana,Vía urbana,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
18,2019,Álava,2,Sábado,14,Zona interurbana,Vía urbana,Choque obstáculo calzada,Buen tiempo,Pleno día,1,0,0,1
19,2019,Álava,4,Viernes,18,Travesía,Otro,Colisión frontal,Buen tiempo,Pleno día,1,0,0,1
20,2019,Álava,5,Sábado,13,Zona interurbana,Camino vecinal,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
21,2019,Álava,8,Lunes,18,Zona interurbana,Vía urbana,Objeto desprendido,Lluvia,Pleno día,1,0,0,1
22,2019,Álava,9,Jueves,14,Zona interurbana,Otro urbano,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
23,2019,Álava,11,Miércoles,12,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,0,1
24,2019,Álava,3,Jueves,13,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,3,0,0,3
25,2019,Álava,12,Lunes,22,Zona interurbana,Ramal/enlace,Colisión por alcance,Lluvia,Se desconoce,3,0,0,3
26,2019,Álava,1,Jueves,19,Zona interurbana,Vía urbana,Caída de motociclista,Lluvia,Se desconoce,1,0,0,1
27,2019,Álava,2,Domingo,19,Zona interurbana,Vía convencional,Colisión por alcance,Buen tiempo,Se desconoce,5,0,0,5
28,2019,Álava,3,Domingo,14,Zona interurbana,Área de servicio,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
29,2019,Álava,3,Sábado,16,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,1,1,0,0
30,2019,Álava,3,Sábado,12,Zona interurbana,Vía urbana,Objeto desprendido,Buen tiempo,Pleno día,1,0,0,1
31,2019,Álava,3,Viernes,14,Zona interurbana,Autovía,Objeto desprendido,Buen tiempo,Pleno día,1,0,1,0
32,2019,Álava,4,Domingo,12,Zona interurbana,Área de servicio,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
33,2019,Álava,4,Sábado,19,Zona interurbana,Vía urbana,Atropello a peatón,Buen tiempo,Pleno día,1,0,0,1
34,2019,Álava,5,Jueves,9,Zona interurbana,Vía urbana,Animal en calzada,Buen tiempo,Pleno día,2,0,0,2
35,2019,Álava,6,Viernes,18,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
36,2019,Álava,6,Domingo,18,Zona interurbana,Vía urbana,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
37,2019,Álava,6,Domingo,17,Zona interurbana,Vía urbana,Caída de motociclista,Lluvia,Pleno día,1,0,0,1
38,2019,Álava,7,Sábado,12,Zona interurbana,Vía urbana,Colisión múltiple,Buen tiempo,Pleno día,3,0,0,3
39,2019,Álava,7,Miércoles,18,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
40,2019,Álava,7,Jueves,7,Zona interurbana,Autopista,Choque obstáculo calzada,Buen tiempo,Pleno día,1,0,1,0
41,2019,Álava,7,Jueves,21,Travesía,Rotonda,Choque obstáculo calzada,Buen tiempo,Pleno día,1,0,0,1
42,2019,Álava,7,Sábado,12,Zona interurbana,Otro urbano,Colisión lateral,Buen tiempo,Pleno día,1,0,0,1
43,2019,Álava,9,Viernes,18,Zona interurbana,Vía urbana,Choque con bordillo,Buen tiempo,Pleno día,1,0,0,1
44,2019,Álava,9,Miércoles,20,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Noche sin iluminación,4,0,0,4
45,2019,Álava,10,Viernes,8,Zona interurbana,Vía convencional,Colisión por alcance,Buen tiempo,Pleno día,3,0,1,2
46,2019,Álava,10,Viernes,16,Zona interurbana,Rotonda,Choque obstáculo calzada,Buen tiempo,Pleno día,1,0,0,1
47,2019,Álava,10,Jueves,17,Zona interurbana,Vía convencional,Caída de motociclista,Buen tiempo,Pleno día,1,0,1,0
48,2019,Álava,11,Sábado,14,Travesía,Otro,Objeto desprendido,Granizo,Pleno día,3,0,0,3
49,2019,Álava,11,Viernes,14,Zona interurbana,Vía urbana,Caída de motociclista,Granizo,Pleno día,1,0,0,1
50,2019,Álava,11,Jueves,14,Zona interurbana,Vía urbana,Atropello a peatón,Lluvia,Pleno día,1,0,0,1
51,2019,Álava,12,Sábado,18,Zona interurbana,Vía urbana,Caída de motociclista,Buen tiempo,Se desconoce,1,0,0,1
52,2019,Álava,12,Sábado,6,Zona interurbana,Autovía,Choque obstáculo calzada,Lluvia,Se desconoce,2,0,0,2
53,2019,Álava,1,Martes,13,Zona interurbana,Vía urbana,Objeto desprendido,Buen tiempo,Pleno día,1,0,0,1
54,2019,Álava,2,Viernes,16,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,1,0,1,0
55,2019,Álava,3,Viernes,17,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,1,0,1,0
56,2019,Álava,4,Viernes,7,Zona interurbana,Camino vecinal,Choque obstáculo lateral,Lluvia,Amanecer/Anochecer,1,1,0,0
57,2019,Álava,4,Viernes,17,Zona interurbana,Vía convencional,Choque obstáculo calzada,Buen tiempo,Pleno día,1,0,0,1
58,2019,Álava,5,Martes,17,Zona interurbana,Vía convencional,Colisión frontolateral,Buen tiempo,Pleno día,2,0,0,2
59,2019,Álava,6,Viernes,23,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Noche sin iluminación,2,0,0,2
60,2019,Álava,7,Lunes,11,Zona interurbana,Vía urbana,Atropello a peatón,Buen tiempo,Pleno día,1,0,0,1
61,2019,Álava,8,Viernes,13,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,2,0,0,2
62,2019,Álava,1,Martes,7,Zona interurbana,Camino vecinal,Caída de motociclista,Buen tiempo,Se desconoce,1,0,0,1
63,2019,Álava,1,Miércoles,22,Zona interurbana,Vía urbana,Atropello a peatón,Granizo,Se desconoce,1,0,0,1
64,2019,Álava,2,Jueves,22,Zona interurbana,Ramal/enlace,Colisión por alcance,Lluvia,Noche ilum. insuficiente,1,0,0,1
65,2019,Álava,2,Domingo,18,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Amanecer/Anochecer,4,0,0,4
66,2019,Álava,3,Domingo,12,Zona interurbana,Vía urbana,Caída de motociclista,Buen tiempo,Pleno día,1,0,0,1
67,2019,Álava,4,Martes,12,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
68,2019,Álava,5,Viernes,6,Zona interurbana,Vía urbana,Colisión frontolateral,Granizo,Se desconoce,2,0,0,2
69,2019,Álava,5,Viernes,17,Zona interurbana,Otro urbano,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
70,2019,Álava,7,Viernes,0,Zona interurbana,Vía urbana,Choque obstáculo calzada,Lluvia,Se desconoce,4,0,0,4
71,2019,Álava,8,Viernes,22,Zona interurbana,Vía urbana,Caída de motociclista,Buen tiempo,Se desconoce,1,0,0,1
72,2019,Álava,9,Miércoles,22,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Noche sin iluminación,3,0,0,3
73,2019,Álava,9,Viernes,16,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
74,2019,Álava,11,Viernes,19,Zona interurbana,Vía urbana,Colisión frontolateral,Nieve,Se desconoce,2,0,0,2
75,2019,Álava,11,Lunes,2,Zona interurbana,Vía urbana,Caída de motociclista,Lluvia,Se desconoce,1,0,1,0
76,2019,Álava,11,Martes,22,Zona interurbana,Vía urbana,Colisión frontal,Lluvia,Se desconoce,2,0,2,0
77,2019,Álava,3,Viernes,18,Zona interurbana,Vía urbana,Colisión múltiple,Buen tiempo,Pleno día,1,0,0,1
78,2019,Álava,4,Martes,1,Zona interurbana,Vía convencional,Choque obstáculo calzada,Lluvia,Se desconoce,3,0,0,3
79,2019,Álava,4,Martes,18,Zona interurbana,Vía de servicio,Colisión frontolateral,Buen tiempo,Pleno día,1,0,1,0
80,2019,Álava,6,Domingo,12,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,1,0,1,0
81,2019,Álava,7,Lunes,12,Zona interurbana,Vía urbana,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
82,2019,Álava,7,Sábado,10,Zona interurbana,Vía convencional,Atropello a peatón,Lluvia,Pleno día,2,0,0,2
83,2019,Álava,8,Viernes,18,Zona interurbana,Otro urbano,Atropello a peatón,Buen tiempo,Pleno día,1,0,0,1
84,2019,Álava,8,Martes,16,Zona interurbana,Autovía,Colisión por alcance,Buen tiempo,Pleno día,2,0,2,0
85,2019,Álava,9,Sábado,9,Zona interurbana,Vía urbana,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
86,2019,Álava,12,Martes,15,Zona interurbana,Vía urbana,Colisión por alcance,Lluvia,Pleno día,1,0,1,0
